BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,BEGIN_DATE,BEGIN_DATETIME,END_DATE,END_DATETIME,storm_severity,storm_duration,Storm_Severity
195204,30,1830,195204,30,1830,,10121789,TEXAS,48,1952,April,Tornado,C,451,TOM GREEN,,30-APR-52 18:30:00,CST,30-APR-52 18:30:00,6,0,0,0,250000.0,0,,0,,,,F3,0.5,100,,,,,0,,,0,,,31.45,-100.47,,,,,PUB,19520430,1952-04-30 18:03:00,19520430,1952-04-30 18:03:00,Low,0.0,High
195205,23,1140,195205,23,1140,,10121790,TEXAS,48,1952,May,Tornado,C,213,HENDERSON,,23-MAY-52 11:40:00,CST,23-MAY-52 11:40:00,1,0,0,0,2500.0,0,,0,,,,F0,0.5,33,,,,,0,,,0,,,32.22,-95.62,,,,,PUB,19520523,1952-05-23 11:04:00,19520523,1952-05-23 11:04:00,Low,0.0,Low
195205,23,1430,195205,23,1430,,10121791,TEXAS,48,1952,May,Tornado,C,451,TOM GREEN,,23-MAY-52 14:30:00,CST,23-MAY-52 14:30:00,1,0,0,0,2500.0,0,,0,,,,F1,7.1,50,,,,,0,,,0,,,31.45,-100.48,31.45,-100.37,,,PUB,19520523,1952-05-23 14:03:00,19520523,1952-05-23 14:03:00,Low,0.0,Low
195208,12,1615,195208,12,1615,,10121793,TEXAS,48,1952,August,Tornado,C,503,YOUNG,,12-AUG-52 16:15:00,CST,12-AUG-52 16:15:00,0,0,0,0,25000.0,0,,0,,,,F1,0.7,50,,,,,0,,,0,,,33.12,-98.6,,,,,PUB,19520812,1952-08-12 16:01:05,19520812,1952-08-12 16:01:05,Low,0.0,Moderate
195212,3,1815,195212,3,1815,,10121794,TEXAS,48,1952,December,Tornado,C,455,TRINITY,,03-DEC-52 18:15:00,CST,03-DEC-52 18:15:00,4,0,0,0,25000.0,0,,0,,,,F2,13.3,100,,,,,0,,,0,,,30.9,-95.3,30.95,-95.08,,,PUB,19521203,1952-12-03 18:01:05,19521203,1952-12-03 18:01:05,Low,0.0,Moderate
195202,1,1500,195202,1,1500,,10123412,TEXAS,48,1952,February,Tornado,C,361,ORANGE,,01-FEB-52 15:00:00,CST,01-FEB-52 15:00:00,0,0,0,0,25000.0,0,,0,,,,F2,1.0,67,,,,,0,,,0,,,30.08,-93.77,,,,,PUB,19520201,1952-02-01 15:00:00,19520201,1952-02-01 15:00:00,Low,0.0,Moderate
195203,2,2200,195203,2,2200,,10123413,TEXAS,48,1952,March,Tornado,C,113,DALLAS,,02-MAR-52 22:00:00,CST,02-MAR-52 22:00:00,0,0,0,0,2500.0,0,,0,,,,F0,0.2,7,,,,,0,,,0,,,32.97,-96.58,,,,,PUB,19520302,1952-03-02 22:00:00,19520302,1952-03-02 22:00:00,Low,0.0,Low
195203,17,1930,195203,17,1930,,10123414,TEXAS,48,1952,March,Tornado,C,485,WICHITA,,17-MAR-52 19:30:00,CST,17-MAR-52 19:30:00,0,0,0,0,25000.0,0,,0,,,,F1,0.0,33,,,,,0,,,0,,,33.88,-98.58,,,,,PUB,19520317,1952-03-17 19:03:00,19520317,1952-03-17 19:03:00,Low,0.0,Moderate
195203,17,2000,195203,17,2000,,10123415,TEXAS,48,1952,March,Tornado,C,363,PALO PINTO,,17-MAR-52 20:00:00,CST,17-MAR-52 20:00:00,0,0,0,0,2500.0,0,,0,,,,F0,0.5,20,,,,,0,,,0,,,32.92,-98.25,,,,,PUB,19520317,1952-03-17 20:00:00,19520317,1952-03-17 20:00:00,Low,0.0,Low
195204,3,1800,195204,3,1800,,10123416,TEXAS,48,1952,April,Tornado,C,181,GRAYSON,,03-APR-52 18:00:00,CST,03-APR-52 18:00:00,1,0,0,0,25000.0,0,,0,,,,F2,4.9,200,,,,,0,,,0,,,33.6,-96.7,33.63,-96.63,,,PUB,19520403,1952-04-03 18:00:00,19520403,1952-04-03 18:00:00,Low,0.0,Moderate
